country,asfr15,asfr20,asfr25,asfr30,asfr35,asfr40,asfr45
Burundi,17.1873,75.1215,113.4454,120.5385,85.8366,35.5746,5.507
Comoros,15.6756,80.5663,109.827,127.7868,50.4823,14.457,5.2309
Djibouti,7.5397,38.0278,88.9278,114.4416,72.2084,18.6051,1.5972
Eritrea,7.6929,70.4531,116.5992,123.6914,53.3858,12.0186,0.6781
Ethiopia,12.0354,57.9665,105.4934,104.9283,55.4732,14.2336,2.5182
Kenya,15.5411,60.3161,110.2376,98.9044,46.73,11.3871,1.6169
Madagascar,25.5534,91.9963,147.9311,105.6946,44.827,10.8993,1.1805
Malawi,34.8638,79.5622,110.7386,103.9151,43.7307,9.3426,0.5545
Mauritius,6.5863,38.5683,96.6832,119.3383,64.6178,13.3009,0.7282
Mayotte,12.5667,54.2022,97.4214,106.7166,66.4784,18.4166,1.967
Mozambique,30.1728,80.1676,107.8329,110.1228,66.8512,25.8914,1.2385
Réunion,7.4478,43.1105,100.4819,118.3388,61.7707,12.8112,0.6895
Rwanda,12.4833,50.5658,101.822,109.5585,62.8406,12.6398,0.7369
Seychelles,8.5694,45.6145,109.1664,109.9291,55.945,11.3891,0.5589
Somalia,16.3557,90.3789,185.1596,125.7856,48.2962,9.1392,1.7981
South Sudan,6.2616,68.3925,170.5064,122.5842,38.3463,8.4747,1.3677
Uganda,16.9527,65.0057,103.6729,96.157,54.1648,20.687,1.0214
United Republic of Tanzania,33.3856,103.2288,141.7917,110.9322,80.2536,11.7677,0.6196
Zambia,31.048,94.3598,120.4808,111.9605,93.3515,21.4763,1.0494
Zimbabwe,9.4942,50.5255,102.4036,122.5171,58.5782,14.9649,0.4492
Angola,33.471,93.6359,134.5852,135.0294,85.2226,29.4966,4.372
Cameroon,20.8961,82.6746,87.5944,120.9413,106.6724,25.2298,4.524
Central African Republic,20.9634,64.5276,100.5075,103.8265,63.2942,21.3375,3.2496
Chad,29.1961,72.352,105.1157,96.8462,86.6426,42.2635,9.8323
Congo,35.3486,88.9759,117.7418,120.1661,78.3363,29.7592,1.808
Democratic Republic of the Congo,27.2523,78.8951,139.2962,82.2245,69.4042,21.9263,0.4299
Equatorial Guinea,28.8716,77.4708,107.4703,109.279,46.871,11.1022,0.9897
Gabon,14.8114,50.4338,115.9671,103.9691,87.5651,31.2032,1.013
Sao Tome and Principe,27.8924,89.4343,93.1027,102.2656,74.9207,55.6089,4.0452
Botswana,10.096,49.6705,106.6103,104.4582,54.1922,13.9587,0.9261
Eswatini,11.2564,54.9961,104.4639,99.2612,40.9504,8.1209,0.8349
Lesotho,25.7739,66.6708,97.6399,102.3064,47.4338,16.9077,0.442
Namibia,9.2146,61.7998,105.965,108.5267,66.4833,14.9421,0.3256
South Africa,8.1323,44.1645,102.2074,106.8826,56.4512,13.3569,0.807
Benin,16.3211,86.4179,172.3158,125.4156,50.6244,11.279,1.6638
Burkina Faso,19.4789,79.5197,142.6512,117.2984,62.043,14.6287,1.6709
Cabo Verde,7.1745,41.3286,101.0807,112.8219,61.0169,12.6375,0.7652
Côte d'Ivoire,34.3766,84.7965,117.0922,120.9775,76.5046,27.8989,4.8802
Gambia,8.9642,48.589,102.3307,112.1814,97.4305,23.5671,3.242
Ghana,19.7449,52.8998,110.0717,142.0703,70.5709,7.7446,2.08
Guinea,33.2193,65.1085,110.5158,117.0497,66.2974,21.9104,8.3799
Guinea-Bissau,26.0581,60.1982,104.3064,109.7642,89.457,22.8319,3.3627
Liberia,45.844,71.8178,97.562,122.4393,60.0742,14.2999,0.5228
Mali,35.2706,70.8299,126.7001,109.4755,56.7663,19.683,9.9859
Mauritania,16.87,78.4287,111.4774,135.9495,102.8287,27.5857,0.983
Niger,31.5222,94.4592,120.7375,122.2136,80.0208,18.9221,7.7804
Nigeria,22.4455,93.3384,109.9024,106.3234,96.5572,23.0982,4.1616
Senegal,12.6475,67.2415,123.7233,118.2735,83.4513,37.7411,8.6092
Sierra Leone,16.5942,65.73,111.7423,98.8123,48.8408,7.4391,1.644
Togo,34.9971,88.4859,132.16,99.8749,54.7438,16.2007,0.8563
Algeria,5.5999,48.2012,101.5667,117.1592,68.1493,22.9965,2.0011
Egypt,14.9086,90.0948,96.9497,93.4045,57.5443,8.8932,4.6853
Libya,6.182,38.1787,94.8604,117.6852,72.543,19.8321,1.8982
Morocco,7.4714,42.6523,98.6352,114.083,66.1087,14.8265,0.8459
Sudan,4.1828,42.3303,118.829,130.4617,118.5711,27.0306,0.6437
Tunisia,7.1505,41.2546,103.6335,115.6566,69.5991,14.2358,0.8085
Western Sahara,7.1546,42.2554,96.3096,112.9848,68.1548,17.8606,1.9955
Armenia,6.8805,40.3851,101.2151,124.9237,67.648,13.9275,0.7611
Azerbaijan,7.0803,41.3764,96.2377,116.6953,63.1759,13.0068,0.7108
Bahrain,6.6875,39.5671,94.4498,117.9721,63.807,13.2564,0.7558
Cyprus,6.5449,38.4148,96.3155,118.885,64.3517,13.248,0.724
Georgia,7.2964,42.2675,103.1168,122.2747,68.2786,13.5458,0.8249
Iraq,27.6311,77.0266,119.865,92.8397,49.4037,15.5029,1.0187
Israel,2.1184,42.8573,87.6962,132.7606,86.0732,27.6101,2.9116
Jordan,7.5547,40.5748,97.4072,120.7989,62.7857,11.7446,0.5483
Kuwait,5.8927,36.4136,108.6038,120.2125,67.3761,14.4549,0.6961
Lebanon,6.6767,39.679,100.2962,122.5471,63.6702,12.8167,0.784
Oman,6.6414,43.0931,78.8359,115.1797,75.4423,21.4325,0.8101
Qatar,6.4284,39.1956,94.5635,117.2997,63.7162,13.0184,0.7113
Saudi Arabia,4.1065,23.4397,100.2632,112.647,69.1415,16.6855,2.3769
State of Palestine,12.8118,58.6118,105.2118,106.5205,61.4593,16.0787,0.8894
Syrian Arab Republic,7.5217,42.4619,99.063,112.5725,62.5371,13.9538,0.8157
Turkey,6.299,35.7683,96.9897,123.8208,69.1591,11.3218,0.6155
United Arab Emirates,1.0321,21.0499,52.2296,109.8058,98.3077,41.6756,2.5151
Yemen,8.2982,43.2206,90.1713,96.6032,61.8703,14.8866,0.9348
Kazakhstan,9.9927,58.2249,100.3157,112.1668,67.0754,15.5346,1.4505
Kyrgyzstan,12.0219,72.4528,100.0713,106.0867,66.2243,11.2707,0.0413
Tajikistan,34.2309,151.6189,125.2303,59.1995,10.1032,0.0922,0.0393
Turkmenistan,9.2825,49.3101,102.5919,126.2361,51.1441,10.9618,0.1047
Uzbekistan,7.767,45.0343,103.9439,102.5336,55.1014,10.939,0.6429
Afghanistan,6.1006,46.6796,100.879,106.247,55.8601,12.0986,0.8222
Bangladesh,6.8493,39.9539,98.2908,115.9019,62.7626,12.9217,0.7458
Bhutan,6.4327,38.8579,97.7557,119.6845,63.2446,13.0232,0.7116
India,6.0402,40.9349,102.2665,120.5324,59.3857,12.2264,0.7374
Iran (Islamic Republic of),11.6951,38.0357,83.788,128.0001,75.0882,14.4831,1.2828
Maldives,6.607,39.9297,100.0554,122.6275,64.9584,13.3737,0.7309
Nepal,6.7095,39.3138,97.1774,116.5656,63.1219,12.9956,0.7309
Pakistan,11.5312,66.8388,112.6131,118.4347,31.7125,3.5849,0.45
Sri Lanka,7.2239,42.2853,104.8352,123.3524,61.4311,12.6475,0.6912
China,6.8571,40.2474,100.8699,124.4976,67.4172,13.88,0.7585
"China, Hong Kong SAR",2.6849,15.9112,65.4028,134.2584,104.9982,26.962,0.864
"China, Macao SAR",6.6453,39.0046,97.7553,120.6534,65.3355,13.4514,0.7351
"China, Taiwan Province of China",2.7721,8.7773,50.6577,133.7236,108.0474,27.755,0.3391
Dem. People's Republic of Korea,6.5665,38.5421,101.8657,126.0902,64.5607,13.2919,0.7264
Japan,3.3092,22.7257,75.6748,123.1206,83.2604,25.1567,0.3751
Mongolia,19.1929,49.0581,77.5268,117.1645,81.9947,18.3455,0.1021
Republic of Korea,1.3823,9.8893,18.8247,153.0742,129.9734,14.9108,0.3271
Brunei Darussalam,4.5933,32.2599,99.4004,125.3326,63.8409,12.0571,0.6567
Cambodia,9.1562,47.4396,105.4142,92.332,37.0004,5.888,0.8216
Indonesia,7.5584,43.533,101.3189,113.6903,62.0895,13.9374,0.8343
Lao People's Democratic Republic,7.5422,43.4394,103.0794,105.5313,56.2664,11.4909,0.636
Malaysia,8.973,28.5387,94.534,124.5995,69.9274,13.3733,0.6797
Myanmar,7.0757,41.184,99.262,117.3418,62.5192,13.6844,0.7866
Philippines,10.8151,42.8921,72.4471,110.7287,67.0431,14.9217,1.5637
Singapore,4.1182,23.8405,85.4182,113.6078,58.8127,11.028,0.4664
Thailand,6.6145,38.6194,96.6328,119.309,64.582,13.2955,0.7318
Timor-Leste,5.9483,44.1907,112.0794,124.7521,46.8081,9.2733,0.7467
Viet Nam,7.1964,42.2387,105.8607,130.6574,70.7529,14.5667,0.7961
Antigua and Barbuda,7.0913,41.4549,103.0413,119.5329,63.8308,13.1318,0.7176
Aruba,7.036,41.2978,103.5026,127.7469,69.1768,14.2422,0.7783
Bahamas,7.1748,42.4762,95.3207,117.6485,66.6084,14.683,0.8029
Barbados,6.712,39.3958,98.7357,121.8634,65.9908,13.5863,0.7425
Cuba,6.7222,39.3558,97.9755,120.596,65.3045,13.4534,0.7348
Curaçao,6.8597,40.0327,100.0611,122.7504,65.979,13.7768,0.7422
Dominican Republic,7.3529,42.0709,100.5569,111.7478,60.0733,12.4019,0.7776
Grenada,6.6438,40.6016,101.7035,117.1537,63.1142,12.9941,0.7101
Guadeloupe,6.3406,39.2976,104.1319,127.7466,65.5412,12.9204,0.7749
Haiti,10.2754,44.7451,99.9116,108.6157,60.3434,15.6194,1.035
Jamaica,6.9523,40.5944,100.8273,118.0109,67.3603,13.1571,0.7379
Martinique,5.5149,35.5549,102.1371,130.9762,66.9908,11.6537,0.5204
Puerto Rico,6.4851,38.0986,95.3331,117.6638,63.7166,13.123,0.7169
Saint Lucia,6.546,38.3288,95.8345,118.0858,63.9452,13.1651,0.7195
Saint Vincent and the Grenadines,6.8171,39.8001,98.9606,118.5414,64.1648,13.2104,0.7219
Trinidad and Tobago,6.728,39.4872,98.9175,120.5607,65.2638,13.4366,0.746
United States Virgin Islands,6.5,39.8857,108.3514,86.8752,76.0771,21.765,0.1918
Belize,7.2507,41.4169,96.4246,109.7371,61.7179,12.2316,0.7741
Costa Rica,6.7221,39.281,97.1884,119.8729,65.2587,13.3758,0.7287
El Salvador,6.9125,39.99,97.322,115.1338,62.0693,12.7775,0.6983
Guatemala,10.2926,45.2438,97.9786,104.6602,61.5677,14.9623,1.1512
Honduras,7.4279,42.0063,96.3871,106.0962,59.0693,13.8156,0.8082
Mexico,7.0364,40.8873,100.1055,116.6975,63.0025,12.9691,0.7566
Nicaragua,7.4232,42.5262,101.0225,111.8244,59.7784,13.4846,0.8137
Panama,8.8447,45.9121,102.0238,107.5749,55.6869,12.7339,0.8236
Argentina,7.7307,42.8869,86.41,114.4823,70.7394,14.9815,0.861
Bolivia (Plurinational State of),10.2422,44.4423,90.3285,121.8328,64.6732,11.6851,0.6542
Brazil,6.6513,38.6785,96.107,119.0134,64.717,13.3261,0.7223
Chile,8.3968,39.8997,88.2957,112.7016,73.273,14.817,0.6382
Colombia,6.7586,39.3028,97.9274,119.2935,64.8927,13.4467,0.7487
Ecuador,7.8076,43.5323,98.6683,105.6187,56.3259,13.5743,0.8284
French Guiana,8.4697,40.6808,86.3728,164.423,79.0407,27.1756,3.2265
Guyana,8.1148,46.513,98.249,119.2558,56.0106,8.6946,0.807
Paraguay,7.9266,43.2192,99.8549,106.1055,55.2881,13.0401,0.815
Peru,7.1963,40.8971,98.484,116.2427,62.5818,13.87,0.7948
Suriname,7.6341,42.1641,100.404,122.2442,62.4745,14.3967,0.6018
Uruguay,7.1323,41.3473,98.5666,119.1228,66.3752,13.5797,0.7276
Venezuela (Bolivarian Republic of),7.4493,42.8219,99.2314,109.3511,59.0263,12.3039,0.7875
Australia,6.285,36.5303,89.7817,121.2657,73.0233,16.707,1.2291
New Zealand,6.4845,40.3247,96.6653,120.0075,68.319,14.8142,0.8554
Fiji,14.5063,47.6439,87.8537,95.2081,70.949,28.7647,2.663
New Caledonia,6.6294,42.0188,91.2104,113.8867,72.16,16.4689,1.4805
Papua New Guinea,16.6686,70.1573,103.5898,110.4116,68.5997,22.5187,4.3158
Solomon Islands,47.2613,119.138,85.3163,91.0538,92.8244,15.9785,0.3471
Vanuatu,18.616,82.9112,122.6425,116.3049,69.2875,23.2221,2.0465
Guam,6.155,41.0469,98.7901,125.6477,69.8867,12.81,0.6434
Kiribati,2.143,23.2969,130.7197,178.755,74.3937,6.3882,0.3728
Micronesia (Fed. States of),2.4969,23.3604,107.3978,137.9614,66.2019,6.6727,0.4001
French Polynesia,6.8593,39.1609,95.0622,118.003,64.8621,13.6537,0.7453
Samoa,6.6237,46.3372,131.4483,124.2437,82.4888,19.613,1.1008
Tonga,5.2856,37.9261,122.4542,153.3079,70.7579,12.267,1.8548
Belarus,6.8164,40.2744,102.9763,125.9812,71.0067,14.7321,0.753
Bulgaria,7.3519,40.6604,98.833,121.9381,69.6026,14.8813,0.8133
Czechia,7.7779,39.8368,96.9167,128.8044,73.2725,15.1592,0.8183
Hungary,11.6196,39.4869,88.0306,120.0179,73.4204,17.3726,0.7683
Poland,6.0528,36.5653,99.8212,121.7112,67.5723,14.0593,0.6583
Republic of Moldova,6.3671,37.3712,93.6615,115.6008,62.5995,12.8881,0.7043
Romania,7.1173,40.0327,99.4318,123.7568,66.5513,14.4282,0.7456
Russian Federation,7.0268,41.5112,104.9749,128.1346,71.0266,14.9105,0.7863
Slovakia,8.0271,37.999,94.7032,124.3669,70.9624,15.0878,0.6877
Ukraine,6.8518,39.4727,96.9506,116.6275,65.7282,14.7129,0.8071
Channel Islands,5.871,36.614,98.3521,122.5936,65.4314,12.3166,0.6378
Denmark,4.4302,35.8282,108.122,131.8537,65.781,13.4698,0.9106
Estonia,4.1293,34.2336,99.7606,120.2503,74.3852,21.0161,1.1168
Finland,6.5626,38.519,96.5381,119.1511,64.522,13.2839,0.726
Iceland,4.6103,35.6551,98.0339,116.5787,70.1625,16.2185,1.435
Ireland,4.383,33.9372,84.8699,119.3603,74.7779,17.5401,1.5382
Latvia,7.1893,40.5504,100.9865,126.3102,71.5849,15.0311,0.8278
Lithuania,6.2605,35.5976,102.3927,131.5072,71.7993,14.9542,0.5848
Norway,6.8468,40.1868,100.718,124.3101,67.3157,13.8591,0.7574
Sweden,5.2696,41.8078,104.5324,129.2663,69.2087,14.8548,0.9422
United Kingdom,6.8755,40.3555,101.1408,124.8319,67.5983,13.9172,0.7606
Albania,6.5811,38.5507,96.0462,118.4878,64.1139,13.199,0.7213
Bosnia and Herzegovina,4.5911,22.3663,101.4815,127.1564,66.5083,11.5788,0.4572
Croatia,4.6336,22.1199,83.7046,130.4081,79.7398,17.3134,0.9063
Greece,4.879,17.8011,73.5793,124.36,85.1295,23.6095,5.6301
Italy,4.9117,24.7192,71.6198,111.2911,82.662,26.5145,4.011
Malta,7.5491,28.5976,82.0434,132.1679,81.8132,16.1788,0.4336
Montenegro,6.4737,38.3317,100.8374,123.2428,66.4957,14.5895,0.8037
North Macedonia,6.7529,31.5143,87.9469,125.2344,74.039,14.2949,0.4636
Portugal,4.4356,27.2559,75.7062,123.6417,86.6234,22.0449,1.2478
Serbia,6.6265,29.1279,90.1659,125.6308,72.6493,15.5269,0.6223
Slovenia,4.4441,37.0052,102.4123,124.8879,69.3158,15.6688,0.8013
Spain,5.7918,24.7422,63.156,107.4059,98.966,34.6811,2.6129
Austria,5.1527,35.2102,90.7443,122.5646,78.9775,17.002,1.0772
Belgium,4.3716,33.7607,101.0723,129.2269,69.5963,16.8153,0.9156
France,4.7091,38.334,103.5229,127.4425,71.3792,18.3016,1.212
Germany,6.4687,30.9325,80.2744,123.7802,88.2743,19.82,0.8949
Luxembourg,4.889,31.8759,79.8715,122.6906,77.3942,18.0755,1.4454
Netherlands,4.0795,33.1225,104.858,136.0097,60.3731,13.021,0.573
Switzerland,2.3463,25.3188,76.7175,125.4738,87.5353,19.7317,1.5796
Canada,5.205,30.1278,86.8373,124.6747,74.0057,18.7648,1.5092
United States of America,7.0512,41.387,103.726,128.0226,69.3261,14.273,0.78