country,males0to4,females0to4
Burundi,1998.645,1948.315
Comoros,76.045,72.865
Djibouti,34.327,33.133
Eritrea,289.901,276.01
Ethiopia,8449.509,8138.879
Kenya,3653.084,3554.941
Madagascar,3587.144,3483.639
Malawi,2190.221,2129.827
Mauritius,18.376,17.636
Mayotte,20.133,19.551
Mozambique,4519.806,4457.686
Réunion,19.426,18.86
Rwanda,935.315,908.7
Seychelles,2.168,2.044
Somalia,3296.802,3244.599
South Sudan,1162.711,1131.985
Uganda,4164.942,4057.083
United Republic of Tanzania,12044.76,11720.01
Zambia,3377.154,3288.9
Zimbabwe,937.118,923.351
Angola,8717.134,8527.127
Cameroon,3513.238,3439.959
Central African Republic,386.622,380.68
Chad,2407.67,2371.166
Congo,870.943,850.405
Democratic Republic of the Congo,13182.24,12911.37
Equatorial Guinea,152.637,149.69
Gabon,198.067,193.142
Sao Tome and Principe,25.786,25.061
Botswana,115.377,112.035
Eswatini,64.38,63.292
Lesotho,76.92,75.736
Namibia,165.414,164.246
South Africa,2237.509,2179.809
Benin,1927.212,1867.655
Burkina Faso,3175.14,3045.639
Cabo Verde,13.783,13.382
Côte d'Ivoire,4028.332,3959.535
Gambia,282.96,276.204
Ghana,2724.293,2598.313
Guinea,1658.217,1630.44
Guinea-Bissau,206.802,202.814
Liberia,554.624,529.239
Mali,3043.422,2932.661
Mauritania,698.575,671.242
Niger,7072.051,6769.152
Nigeria,29607.44,28280.97
Senegal,2419.41,2337.704
Sierra Leone,518.605,514.019
Togo,1012.811,1002.093
Algeria,1815.883,1730.141
Egypt,6770.945,6388.262
Libya,198.19,186.974
Morocco,1043.742,984.529
Sudan,5372.513,5187.021
Tunisia,305.969,291.38
Western Sahara,36.871,35.82
Armenia,48.395,45.703
Azerbaijan,222.565,208.673
Bahrain,45.657,43.882
Cyprus,29.187,27.356
Georgia,60.477,57.02
Iraq,3468.187,3258.234
Israel,510.477,484.959
Jordan,330.377,313.453
Kuwait,165.51,158.402
Lebanon,127.873,121.718
Oman,162.321,154.617
Qatar,80.775,76.838
Saudi Arabia,941.097,913.739
State of Palestine,342.87,326.18
Syrian Arab Republic,865.001,825.472
Turkey,1891.181,1801.049
United Arab Emirates,351.678,336.597
Yemen,1401.46,1341.172
Kazakhstan,766.29,722.255
Kyrgyzstan,316.696,299.37
Tajikistan,821.878,771.822
Turkmenistan,236.443,227.03
Uzbekistan,1094.696,1030.978
Afghanistan,1956.655,1846.802
Bangladesh,3312.108,3156.952
Bhutan,11.775,11.33
India,35206.03,32593.15
Iran (Islamic Republic of),2418.371,2298.163
Maldives,9.914,9.322
Nepal,435.786,411.224
Pakistan,11616.77,10821.79
Sri Lanka,324.989,313.235
China,24584.24,22974.98
"China, Hong Kong SAR",189.641,177.981
"China, Macao SAR",24.694,23.572
"China, Taiwan Province of China",374.77,355.128
Dem. People's Republic of Korea,536.356,511.052
Japan,1525.203,1445.105
Mongolia,154.077,149.639
Republic of Korea,587.657,554.256
Brunei Darussalam,8.602,8.156
Cambodia,540.779,514.959
Indonesia,7980.589,7591.933
Lao People's Democratic Republic,199.963,190.373
Malaysia,947.881,892.064
Myanmar,1458.1,1419.358
Philippines,3645.745,3438.639
Singapore,111.477,103.063
Thailand,975.855,919.174
Timor-Leste,64.594,61.617
Viet Nam,2440.476,2325.868
Antigua and Barbuda,2.46,2.39
Aruba,2.634,2.509
Bahamas,11.662,11.041
Barbados,4.847,4.679
Cuba,137.873,130.39
Curaçao,4.086,3.901
Dominican Republic,244.15,232.387
Grenada,1.958,1.863
Guadeloupe,7.993,7.708
Haiti,392.839,376.038
Jamaica,36.918,35.417
Martinique,5.285,5.082
Puerto Rico,22.202,21.074
Saint Lucia,2.566,2.492
Saint Vincent and the Grenadines,1.646,1.598
Trinidad and Tobago,22.171,21.358
United States Virgin Islands,0.545,0.512
Belize,14.961,14.527
Costa Rica,102.072,97.237
El Salvador,96.376,91.665
Guatemala,769.261,732.568
Honduras,332.023,316.2
Mexico,3260.555,3102.322
Nicaragua,185.612,176.8
Panama,157.292,149.865
Argentina,1407.599,1353.576
Bolivia (Plurinational State of),439.521,418.641
Brazil,3880.508,3696.662
Chile,375.113,360.78
Colombia,973.954,927.74
Ecuador,572.437,545.192
French Guiana,28.843,27.484
Guyana,11.099,10.452
Paraguay,214.347,204.198
Peru,891.859,849.3
Suriname,15.302,14.571
Uruguay,73.885,70.489
Venezuela (Bolivarian Republic of),823.755,784.59
Australia,1110.838,1052.332
New Zealand,144.321,136.691
Fiji,30.113,28.5
New Caledonia,8.642,8.232
Papua New Guinea,671.473,622.93
Solomon Islands,90.125,85.822
Vanuatu,35.338,33.681
Guam,3.889,3.675
Kiribati,7.769,7.395
Micronesia (Fed. States of),3.03,2.891
French Polynesia,5.694,5.423
Samoa,9.433,8.717
Tonga,4.25,4.043
Belarus,187.054,176.004
Bulgaria,81.759,77.078
Czechia,257.46,243.455
Hungary,166.349,157.139
Poland,498.07,471.724
Republic of Moldova,43.619,41.231
Romania,278.772,263.496
Russian Federation,3371.054,3196.908
Slovakia,89.61,85.368
Ukraine,574.668,541.21
Channel Islands,5.357,5.076
Denmark,179.038,169.763
Estonia,18.634,17.564
Finland,120.149,114.429
Iceland,7.957,7.556
Ireland,128.351,122.297
Latvia,26.455,25.026
Lithuania,34.795,33.056
Norway,199.459,188.013
Sweden,334.061,315.46
United Kingdom,1924.911,1833.119
Albania,16.724,15.743
Bosnia and Herzegovina,33.999,32.382
Croatia,45.798,43.239
Greece,138.942,130.531
Italy,810.439,762.85
Malta,8.194,7.736
Montenegro,10.527,10.021
North Macedonia,27.462,26.051
Portugal,152.975,144.411
Serbia,88.821,83.753
Slovenia,39.585,37.575
Spain,705.513,663.486
Austria,208.204,197.515
Belgium,307.393,292.973
France,1568.731,1498.392
Germany,1793.656,1697.91
Luxembourg,24.847,23.736
Netherlands,370.751,353.218
Switzerland,268.227,255.523
Canada,1434.975,1361.993
United States of America,11513.44,11007.03